date,home,away,gh,ga,result,home_gf_avg,away_gf_avg,home_ga_avg,away_ga_avg,goal_diff_avg
2024-11-29 03:10:00+00:00,Monterrey,U.N.A.M. - Pumas,1,0,1,2.0,0.6,0.6,0.2,1.0
2024-11-30 23:00:00+00:00,Toluca,Club America,0,2,2,3.2,1.8,0.8,1.6,2.2
2024-12-01 01:10:00+00:00,Cruz Azul,Club Tijuana,3,0,1,2.2,0.6,0.2,1.4,2.8
2024-12-01 18:00:00+00:00,U.N.A.M. - Pumas,Monterrey,3,5,2,1.4,1.2,0.4,1.2,0.9999999999999999
2024-12-02 01:00:00+00:00,Tigres UANL,Atletico San Luis,0,0,0,1.6,1.2,0.8,1.4,1.0
2024-12-05 03:00:00+00:00,Atletico San Luis,Monterrey,2,1,1,2.4,1.8,0.4,1.4,1.5999999999999999
2024-12-06 02:00:00+00:00,Club America,Cruz Azul,0,0,0,1.8,2.0,0.6,1.6,0.8000000000000003
2024-12-08 02:00:00+00:00,Monterrey,Atletico San Luis,5,1,1,2.2,1.2,0.6,1.2,1.6
2024-12-09 01:00:00+00:00,Cruz Azul,Club America,3,4,2,2.6,2.0,0.2,1.4,1.7999999999999998
2024-12-13 02:00:00+00:00,Club America,Monterrey,2,1,1,1.8,1.6,0.4,1.8,1.5999999999999999
2024-12-16 01:00:00+00:00,Monterrey,Club America,1,1,0,2.4,2.6,0.4,1.8,1.2
2025-01-11 01:00:00+00:00,Club Queretaro,Club America,0,1,2,1.0,2.4,1.0,1.6,-0.7999999999999998
2025-01-11 03:00:00+00:00,Mazatlán,FC Juarez,1,1,0,0.8,1.6,1.6,1.4,-1.0000000000000002
2025-01-11 03:05:00+00:00,Club Tijuana,Toluca,2,4,2,2.0,1.0,1.2,1.4,1.2
2025-01-11 23:00:00+00:00,Atletico San Luis,Tigres UANL,1,3,2,2.2,1.2,0.4,2.0,2.6000000000000005
2025-01-12 01:05:00+00:00,Guadalajara Chivas,Santos Laguna,1,0,1,1.2,0.8,1.6,2.4,1.1999999999999997
2025-01-12 03:05:00+00:00,Cruz Azul,Atlas,1,1,0,2.6,0.4,1.0,1.6,2.8000000000000003
2025-01-12 18:00:00+00:00,U.N.A.M. - Pumas,Necaxa,2,1,1,1.8,0.8,1.4,2.4,2.0
2025-01-13 01:00:00+00:00,Monterrey,Puebla,1,1,0,2.6,0.2,0.6,2.2,4.0
2025-01-17 02:10:00+00:00,Club America,Club Tijuana,1,1,0,1.6,0.6,0.6,1.2,1.6
2025-01-18 01:00:00+00:00,Puebla,Atletico San Luis,1,2,2,1.6,1.4,1.8,1.6,2.220446049250313e-16
2025-01-18 01:00:00+00:00,Tigres UANL,Mazatlán,2,1,1,1.4,0.0,0.8,0.2,0.7999999999999998
2025-01-18 03:05:00+00:00,Necaxa,Guadalajara Chivas,3,2,1,0.8,0.8,1.4,0.6,-0.7999999999999999
2025-01-18 23:00:00+00:00,FC Juarez,Cruz Azul,1,0,1,1.2,1.2,1.8,1.2,-0.6000000000000001
2025-01-19 01:00:00+00:00,Toluca,Monterrey,1,1,0,2.4,1.6,1.0,2.0,1.7999999999999998
2025-01-19 03:00:00+00:00,Atlas,Leon,1,2,2,0.8,1.6,0.6,2.0,0.6
2025-01-19 23:00:00+00:00,Club Queretaro,U.N.A.M. - Pumas,3,2,1,0.8,0.4,1.2,0.4,-0.3999999999999999
2025-01-21 01:00:00+00:00,CF Pachuca,Santos Laguna,2,1,1,2.0,0.6,2.2,2.4,1.5999999999999996
2025-01-25 01:00:00+00:00,Atletico San Luis,Necaxa,0,3,2,1.8,1.0,0.8,2.8,2.8
2025-01-25 03:00:00+00:00,Mazatlán,Toluca,2,1,1,1.0,1.8,1.8,1.4,-1.2000000000000002
2025-01-25 03:00:00+00:00,Club Tijuana,Club Queretaro,2,1,1,2.0,0.8,1.6,2.0,1.5999999999999999
2025-01-25 23:00:00+00:00,Cruz Azul,Puebla,1,1,0,2.0,0.4,1.2,2.2,2.6000000000000005
2025-01-25 23:00:00+00:00,Leon,FC Juarez,1,0,1,1.2,1.2,0.2,1.2,1.0
2025-01-26 01:05:00+00:00,Guadalajara Chivas,Tigres UANL,1,1,0,1.0,1.4,1.0,1.4,0.0
2025-01-26 01:05:00+00:00,Santos Laguna,Club America,1,4,2,0.6,1.6,1.0,1.6,-0.4
2025-01-26 03:10:00+00:00,Monterrey,CF Pachuca,2,3,2,2.0,1.4,0.8,1.8,1.6
2025-01-26 18:00:00+00:00,U.N.A.M. - Pumas,Atlas,0,0,0,2.0,0.6,1.6,1.8,1.6
2025-01-29 01:00:00+00:00,Club America,Atletico San Luis,3,0,1,1.4,1.0,0.6,1.4,1.1999999999999997
2025-01-29 01:00:00+00:00,Puebla,Mazatlán,0,1,2,1.4,0.2,2.0,0.6,-0.20000000000000012
2025-01-29 03:00:00+00:00,Tigres UANL,Club Tijuana,4,0,1,1.4,0.8,0.6,1.2,1.1999999999999997
2025-01-29 03:00:00+00:00,Leon,Guadalajara Chivas,2,1,1,1.2,1.2,0.2,1.0,0.8
2025-01-29 03:05:00+00:00,Necaxa,Cruz Azul,1,3,2,1.2,0.8,1.6,1.2,-2.220446049250313e-16
2025-01-30 01:00:00+00:00,Club Queretaro,CF Pachuca,0,1,2,1.4,1.4,1.6,1.8,0.19999999999999996
2025-01-30 01:00:00+00:00,Atlas,Monterrey,3,3,0,0.6,1.8,1.0,2.0,-0.20000000000000007
2025-01-30 03:00:00+00:00,FC Juarez,Santos Laguna,1,0,1,1.2,0.6,1.8,2.2,1.0
2025-01-30 03:05:00+00:00,U.N.A.M. - Pumas,Toluca,1,1,0,1.4,1.8,1.6,1.8,-0.20000000000000018
2025-02-01 01:00:00+00:00,Mazatlán,Leon,1,2,2,1.0,2.0,1.6,1.8,-0.8
2025-02-01 03:05:00+00:00,Club Tijuana,Cruz Azul,2,3,2,2.4,1.0,1.2,1.4,1.5999999999999999
2025-02-01 23:00:00+00:00,Club America,FC Juarez,4,0,1,1.6,0.8,0.4,1.4,1.8
2025-02-01 23:05:00+00:00,Guadalajara Chivas,Club Queretaro,1,1,0,0.6,0.8,0.8,2.0,0.9999999999999999
2025-02-02 01:00:00+00:00,CF Pachuca,Atlas,0,0,0,2.0,0.6,2.0,1.0,0.4
2025-02-02 01:05:00+00:00,Monterrey,Necaxa,1,0,1,2.0,1.6,1.2,2.8,1.9999999999999998
2025-02-02 03:15:00+00:00,Toluca,Tigres UANL,1,0,1,2.4,1.6,1.0,1.2,0.9999999999999998
2025-02-02 23:00:00+00:00,Santos Laguna,Puebla,0,2,2,0.4,0.6,1.8,2.2,0.20000000000000018
2025-02-03 01:00:00+00:00,Atletico San Luis,U.N.A.M. - Pumas,2,3,2,1.6,0.6,1.4,0.8,0.40000000000000024
2025-02-06 03:10:00+00:00,CF Pachuca,Leon,1,2,2,1.6,2.0,1.2,1.6,2.220446049250313e-16
2025-02-08 01:00:00+00:00,Necaxa,Santos Laguna,3,2,1,1.2,0.6,1.8,1.8,0.6000000000000001
2025-02-08 01:00:00+00:00,Club Queretaro,Atletico San Luis,1,0,1,1.4,0.8,1.6,1.8,0.7999999999999998
2025-02-08 03:00:00+00:00,Puebla,Club America,1,2,2,1.0,2.4,1.6,1.0,-2.0
2025-02-09 01:00:00+00:00,Tigres UANL,Atlas,2,1,1,2.0,0.6,0.6,1.0,1.7999999999999998
2025-02-09 01:00:00+00:00,Leon,Toluca,3,3,0,1.4,1.4,0.2,1.8,1.6
2025-02-09 03:00:00+00:00,FC Juarez,Monterrey,2,1,1,1.4,2.2,1.6,2.2,-0.20000000000000018
2025-02-09 03:05:00+00:00,Cruz Azul,CF Pachuca,2,1,1,1.8,1.4,1.4,1.4,0.40000000000000013
2025-02-10 00:00:00+00:00,U.N.A.M. - Pumas,Mazatlán,1,0,1,1.6,0.4,1.4,0.4,0.20000000000000018
2025-02-10 03:05:00+00:00,Guadalajara Chivas,Club Tijuana,2,1,1,0.8,0.4,1.0,1.8,1.2
2025-02-15 03:00:00+00:00,Club Tijuana,FC Juarez,1,2,2,2.4,0.8,1.6,1.4,1.3999999999999997
2025-02-15 03:00:00+00:00,Club America,Necaxa,2,3,2,2.0,1.6,0.4,2.4,2.4
2025-02-15 03:00:00+00:00,Mazatlán,Santos Laguna,1,1,0,0.8,1.0,2.0,2.0,-0.19999999999999996
2025-02-15 23:00:00+00:00,Atlas,Puebla,3,2,1,1.2,1.0,1.4,1.2,0.0
2025-02-16 01:00:00+00:00,Tigres UANL,Cruz Azul,2,1,1,2.0,1.2,0.6,1.4,1.5999999999999999
2025-02-16 03:10:00+00:00,Toluca,Guadalajara Chivas,2,1,1,1.6,1.4,1.0,1.2,0.40000000000000013
2025-02-16 23:00:00+00:00,Club Queretaro,Monterrey,2,4,2,1.4,1.4,1.2,2.0,0.8
2025-02-17 01:00:00+00:00,Atletico San Luis,Leon,1,2,2,1.6,1.8,2.0,1.4,-0.8
2025-02-17 01:05:00+00:00,CF Pachuca,U.N.A.M. - Pumas,2,1,1,1.8,1.2,1.2,1.2,0.6000000000000001
2025-02-19 03:10:00+00:00,Atlas,Necaxa,0,4,2,1.8,1.8,1.8,2.2,0.40000000000000013
2025-02-20 01:00:00+00:00,Club America,Leon,1,1,0,2.4,1.8,1.0,1.2,0.7999999999999998
2025-02-20 03:05:00+00:00,Santos Laguna,Cruz Azul,0,1,2,0.4,1.4,1.8,1.2,-1.5999999999999999
2025-02-22 01:00:00+00:00,Necaxa,Mazatlán,3,1,1,1.6,0.4,1.6,0.6,0.19999999999999996
2025-02-22 03:00:00+00:00,Puebla,Club Tijuana,2,0,1,0.8,0.6,1.4,2.2,1.0000000000000002
2025-02-22 23:00:00+00:00,FC Juarez,Toluca,0,4,2,1.4,1.8,1.2,2.0,0.3999999999999999
2025-02-23 01:00:00+00:00,Monterrey,Atletico San Luis,3,1,1,2.0,0.6,1.2,2.0,2.2
2025-02-23 01:00:00+00:00,Leon,Tigres UANL,1,0,1,2.0,1.0,0.8,1.4,1.5999999999999999
2025-02-23 01:05:00+00:00,Guadalajara Chivas,CF Pachuca,2,1,1,1.2,1.4,1.0,1.6,0.40000000000000013
2025-02-23 03:05:00+00:00,U.N.A.M. - Pumas,Club America,0,2,2,1.4,2.4,1.4,1.2,-1.2
2025-02-23 23:00:00+00:00,Santos Laguna,Atlas,2,0,1,0.2,0.4,1.8,1.2,-0.8000000000000002
